2025-01-27 22:03:03|INCOME|2000.00|2000.00
2025-01-27 22:03:09|EXPENSE|300.00|1700.00
2025-01-27 22:03:23|INCOME|74.00|1774.00
2025-01-27 22:03:30|EXPENSE|89.00|1685.00
2025-01-28 09:45:46|INCOME|400.00|3541.00
2025-01-28 09:45:52|EXPENSE|2500.00|1041.00
2025-01-28 09:51:48|INCOME|34.00|1075.00
2025-01-28 10:00:49|EXPENSE|300.00|775.00
2025-01-28 10:03:06|INCOME|33000.00|33775.00
2025-01-28 10:03:14|EXPENSE|200.00|33575.00
2025-01-28 10:03:17|EXPENSE|500.00|33075.00
2025-01-28 10:03:21|EXPENSE|800.00|32275.00
2025-01-29 09:20:05|INCOME|600.00|32875.00
